Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,ClearanceOffLine,Age,Nationality,Rank
2024/25,359413.0,Lewis Hall,Lewis,Hall,D,20.0,Left Full Back,Newcastle United,NEW,1.0,19 years 350 days,England,1.0
2024/25,42220.0,Wilfred Ndidi,Wilfred,Ndidi,M,6.0,Centre Central Midfielder,Leicester City,LEI,1.0,27 years 251 days,Nigeria,1.0
2023/24,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,3.0,32 years 106 days,England,1.0
2023/24,346775.0,Murillo,Murillo Santiago,Costa dos Santos,D,5.0,Left/Centre Central Defender,Nottingham Forest,NFO,3.0,22 years 50 days,Brazil,1.0
2023/24,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,3.0,25 years 158 days,Portugal,1.0
2023/24,322882.0,Issa Diop,Issa,Diop,D,31.0,Centre Central Defender,Fulham,FUL,3.0,27 years 227 days,France,1.0
2023/24,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,3.0,32 years 276 days,England,1.0
2023/24,300707.0,Toti Gomes,Tote António,Gomes,D,24.0,Centre Central Defender,Wolverhampton Wanderers,WOL,3.0,25 years 220 days,Portugal,1.0
2023/24,360341.0,Maximilian Kilman,Maximilian,Kilman,D,26.0,Left/Centre Central Defender,n/a,n/a,3.0,27 years 92 days,England,1.0
2023/24,361016.0,Albert Sambi Lokonga,Albert,Sambi Lokonga,M,12.0,Centre Central Midfielder,Luton Town,LUT,3.0,24 years 306 days,Belgium,1.0
2023/24,277643.0,Reece Burke,Reece,Burke,D,16.0,Centre Central Defender,Luton Town,LUT,2.0,27 years 356 days,England,9.0
2023/24,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,2.0,32 years 182 days,Brazil,9.0
2023/24,336892.0,Craig Dawson,Craig,Dawson,D,15.0,Centre Central Defender,Wolverhampton Wanderers,WOL,2.0,34 years 109 days,England,9.0
2023/24,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,2.0,27 years 101 days,Portugal,9.0
2023/24,313731.0,Alfie Doughty,Alfie,Doughty,M,45.0,Left Winger,Luton Town,LUT,2.0,24 years 246 days,England,9.0
2023/24,346774.0,Teden Mengi,Teden,Mengi,D,15.0,Centre Central Defender,Luton Town,LUT,2.0,22 years 115 days,England,9.0
2023/24,169744.0,Tyrick Mitchell,Tyrick,Mitchell,D,39.0,Left Full Back,Crystal Palace,CRY,2.0,24 years 357 days,England,9.0
2023/24,324030.0,Emerson,Emerson,Palmieri dos Santos,D,33.0,Left Full Back,West Ham United,WHU,2.0,30 years 20 days,Italy,9.0
2023/24,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,Arsenal,ARS,2.0,25 years 222 days,England,9.0
2023/24,179282.0,Jack Robinson,Jack,Robinson,D,19.0,Left Full Back,Sheffield United,SHU,2.0,30 years 357 days,England,9.0
2023/24,190129.0,Antonee Robinson,Antonee,Robinson,D,33.0,Left Full Back,Fulham,FUL,2.0,27 years 15 days,United States,9.0
2023/24,259014.0,Tomás Soucek,Tomás,Soucek,M,28.0,Centre Defensive Midfielder,West Ham United,WHU,2.0,29 years 178 days,Czech Republic,9.0
2023/24,341884.0,Pau Torres,Pau,Torres,D,14.0,Central Defender,Aston Villa,AVL,2.0,27 years 220 days,Spain,9.0
2023/24,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,2.0,28 years 237 days,England,9.0
2023/24,312977.0,Nayef Aguerd,Nayef,Aguerd,D,27.0,Centre Central Defender,West Ham United,WHU,1.0,28 years 146 days,Morocco,23.0
2023/24,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,Wolverhampton Wanderers,WOL,1.0,23 years 78 days,Algeria,23.0
2023/24,154335.0,Miguel Almirón,Miguel,Almirón,M,24.0,Left/Centre/Right Second Striker,Newcastle United,NEW,1.0,30 years 195 days,Paraguay,23.0
2023/24,335884.0,Benoît Badiashile,Benoît,Badiashile,D,5.0,Centre Central Defender,Chelsea,CHE,1.0,23 years 150 days,France,23.0
2023/24,160732.0,Philip Billing,Philip,Billing,M,29.0,Centre Defensive Midfielder,Bournemouth,BOU,1.0,28 years 73 days,Denmark,23.0
2023/24,325444.0,Willy-Arnaud Boly,Willy-Arnaud,Boly,D,30.0,Centre Central Defender,Nottingham Forest,NFO,1.0,33 years 202 days,Cote D’Ivoire,23.0
2023/24,313931.0,Sven Botman,Sven,Botman,D,4.0,Central Defender,Newcastle United,NEW,1.0,24 years 224 days,Netherlands,23.0
2023/24,345054.0,Moisés Caicedo,Moisés,Caicedo,M,25.0,Centre Defensive Midfielder,Chelsea,CHE,1.0,22 years 295 days,Ecuador,23.0
2023/24,211499.0,Matty Cash,Matty,Cash,D,2.0,Right Full Back,Aston Villa,AVL,1.0,27 years 16 days,Poland,23.0
2023/24,288967.0,Ryan Christie,Ryan,Christie,M,10.0,Left/Centre/Right Attacking Midfielder,Bournemouth,BOU,1.0,29 years 183 days,Scotland,23.0
2023/24,27098.0,Nathaniel Clyne,Nathaniel,Clyne,D,17.0,Right Full Back,Crystal Palace,CRY,1.0,33 years 140 days,England,23.0
2023/24,94007.0,Séamus Coleman,Séamus,Coleman,D,n/a,Right Full Back,Everton,EVE,1.0,35 years 317 days,Ireland,23.0
2023/24,317848.0,Josh Cullen,Josh,Cullen,M,24.0,Centre Central Midfielder,Burnley,BUR,1.0,28 years 138 days,Ireland,23.0
2023/24,344447.0,Vinicius Souza,Vinicius,de Souza Costa,M,21.0,Centre Central Midfielder,Sheffield United,SHU,1.0,25 years 67 days,Brazil,23.0
2023/24,343402.0,Igor Julio,Igor Julio,dos Santos de Paulo,D,3.0,Centre Central Defender,Brighton & Hove Albion,BHA,1.0,26 years 198 days,Brazil,23.0
2023/24,202648.0,Gabriel Magalhães,Gabriel,dos Santos Magalhães,D,6.0,Centre Central Defender,Arsenal,ARS,1.0,26 years 248 days,Brazil,23.0
2023/24,359153.0,Tommy Doyle,Tommy,Doyle,M,20.0,Centre Central Midfielder,n/a,n/a,1.0,22 years 311 days,England,23.0
2023/24,110232.0,Jonny Evans,Jonny,Evans,D,35.0,Centre Central Defender,Manchester United,MUN,1.0,36 years 233 days,Northern Ireland,23.0
2023/24,337528.0,João Gomes,João Victor,Gomes da Silva,M,8.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,1.0,23 years 193 days,Brazil,23.0
2023/24,335797.0,Jack Hinshelwood,Jack,Hinshelwood,M,41.0,Centre Defensive Midfielder,Brighton & Hove Albion,BHA,1.0,19 years 134 days,England,23.0
2023/24,361468.0,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,M,23.0,Centre Defensive Midfielder,n/a,n/a,1.0,29 years 18 days,Denmark,23.0
2023/24,258703.0,Vitaly Janelt,Vitaly,Janelt,M,27.0,Centre Defensive Midfielder,Brentford,BRE,1.0,26 years 105 days,Germany,23.0
2023/24,362873.0,Zanka,Mathias,Jørgensen,D,13.0,Centre Central Defender,n/a,n/a,1.0,34 years 122 days,Denmark,23.0
2023/24,342616.0,Issa Kaboré,Issa,Kaboré,D,12.0,Right Full Back,Luton Town,LUT,1.0,23 years 103 days,Burkina Faso,23.0
2023/24,312584.0,Boubacar Kamara,Boubacar,Kamara,M,44.0,Centre Defensive Midfielder,Aston Villa,AVL,1.0,24 years 274 days,France,23.0
2023/24,345135.0,Tariq Lamptey,Tariq,Lamptey,D,n/a,Defender,Brighton & Hove Albion,BHA,1.0,23 years 328 days,Ghana,23.0
2023/24,344361.0,Tino Livramento,Tino,Livramento,D,21.0,Right Full Back,Newcastle United,NEW,1.0,21 years 285 days,England,23.0
2023/24,318813.0,Lisandro Martínez,Lisandro,Martínez,D,6.0,Central Defender,Manchester United,MUN,1.0,26 years 218 days,Argentina,23.0
2023/24,320612.0,Dwight McNeil,Dwight,McNeil,F,7.0,Left Winger,Everton,EVE,1.0,24 years 275 days,England,23.0
2023/24,319809.0,Ben Mee,Ben,Mee,D,16.0,Centre Central Defender,Brentford,BRE,1.0,34 years 337 days,England,23.0
2023/24,299539.0,Vitalii Mykolenko,Vitalii,Mykolenko,D,19.0,Left Full Back,Everton,EVE,1.0,25 years 86 days,Ukraine,23.0
2023/24,360568.0,Moussa Niakhaté,Moussa,Niakhaté,D,19.0,Central Defender,n/a,n/a,1.0,28 years 168 days,Senegal,23.0
2023/24,144579.0,Oliver Norwood,Oliver,Norwood,M,16.0,Centre Central Midfielder,Sheffield United,SHU,1.0,33 years 133 days,Northern Ireland,23.0
2023/24,340626.0,Dara O'Shea,Dara,O'Shea,D,2.0,Centre Central Defender,Burnley,BUR,1.0,25 years 172 days,Ireland,23.0
2023/24,347496.0,Andrew Omobamidele,Andrew,Omobamidele,D,12.0,Centre Central Defender,Nottingham Forest,NFO,1.0,22 years 61 days,Ireland,23.0
2023/24,336736.0,Dango Ouattara,Dango,Ouattara,F,11.0,Forward,Bournemouth,BOU,1.0,22 years 194 days,Burkina Faso,23.0
2023/24,338755.0,Nathan Patterson,Nathan,Patterson,D,n/a,Right Full Back,Everton,EVE,1.0,22 years 312 days,Scotland,23.0
2023/24,19300.0,Tim Ream,Tim,Ream,D,13.0,Left/Centre Central Defender,n/a,n/a,1.0,36 years 323 days,United States,23.0
2023/24,356760.0,Connor Roberts,Connor,Roberts,D,33.0,Right Full Back,Burnley,BUR,1.0,28 years 335 days,Wales,23.0
2023/24,50135.0,Andy Robertson,Andy,Robertson,D,26.0,Left Full Back,Liverpool,LIV,1.0,30 years 165 days,Scotland,23.0
2023/24,285389.0,Cristian Romero,Cristian,Romero,D,17.0,Centre Central Defender,Tottenham Hotspur,TOT,1.0,26 years 118 days,Argentina,23.0
2023/24,312583.0,Diego Carlos,Diego Carlos,Santos Silva,D,3.0,Centre Central Defender,Aston Villa,AVL,1.0,31 years 161 days,Brazil,23.0
2023/24,275377.0,Fabian Schär,Fabian,Schär,D,n/a,Defender,Newcastle United,NEW,1.0,32 years 247 days,Switzerland,23.0
2023/24,10050.0,Adam Smith,Adam,Smith,D,15.0,Right Full Back,Bournemouth,BOU,1.0,33 years 116 days,England,23.0
2023/24,314846.0,James Tarkowski,James,Tarkowski,D,6.0,Centre Central Defender,Everton,EVE,1.0,31 years 278 days,England,23.0
2023/24,356341.0,Luke Thomas,Luke,Thomas,D,33.0,Left Full Back,n/a,n/a,1.0,23 years 74 days,England,23.0
2023/24,343519.0,Auston Trusty,Auston,Trusty,D,5.0,Centre Central Defender,Sheffield United,SHU,1.0,26 years 11 days,United States,23.0
2023/24,344362.0,Micky van de Ven,Micky,van de Ven,D,37.0,Central Defender,Tottenham Hotspur,TOT,1.0,23 years 126 days,Netherlands,23.0
2023/24,92622.0,Virgil van Dijk,Virgil,van Dijk,D,4.0,Centre Central Defender,Liverpool,LIV,1.0,33 years 46 days,Netherlands,23.0
2023/24,316560.0,Neco Williams,Neco,Williams,D,7.0,Right Full Back,Nottingham Forest,NFO,1.0,23 years 132 days,Wales,23.0
2023/24,341954.0,Ashley Young,Ashley,Young,D,18.0,Defender,Everton,EVE,1.0,39 years 45 days,England,23.0
2023/24,319999.0,Oleksandr Zinchenko,Oleksandr,Zinchenko,D,17.0,Left Full Back,Arsenal,ARS,1.0,27 years 252 days,Ukraine,23.0
2023/24,160671.0,Joelinton,Joelinton Cássio,Apolinário de Lira,F,7.0,Centre Striker,Newcastle United,NEW,0.0,28 years 9 days,Brazil,75.0
2023/24,343671.0,Josko Gvardiol,Josko,Gvardiol,D,24.0,Defender,Manchester City,MCI,0.0,22 years 213 days,Croatia,75.0
2023/24,287525.0,Raphaël Varane,Raphaël,Varane,D,19.0,Centre Central Defender,n/a,n/a,0.0,31 years 120 days,France,75.0
2022/23,196369.0,Thiago Silva,Thiago,Emiliano da Silva,D,6.0,Centre Central Defender,n/a,n/a,4.0,39 years 336 days,Brazil,1.0
2022/23,19300.0,Tim Ream,Tim,Ream,D,13.0,Left/Centre Central Defender,n/a,n/a,4.0,36 years 323 days,United States,1.0
2022/23,360341.0,Maximilian Kilman,Maximilian,Kilman,D,26.0,Left/Centre Central Defender,n/a,n/a,3.0,27 years 92 days,England,3.0
2022/23,319809.0,Ben Mee,Ben,Mee,D,16.0,Centre Central Defender,Brentford,BRE,3.0,34 years 337 days,England,3.0
2022/23,160323.0,Tyrone Mings,Tyrone,Mings,D,5.0,Centre Central Defender,Aston Villa,AVL,3.0,31 years 163 days,England,3.0
2022/23,363000.0,Kieran Trippier,Kieran,Trippier,D,n/a,Right Full Back,Newcastle United,NEW,3.0,33 years 339 days,England,3.0
2022/23,316560.0,Neco Williams,Neco,Williams,D,7.0,Right Full Back,Nottingham Forest,NFO,3.0,23 years 132 days,Wales,3.0
2022/23,340930.0,Conor Coady,Conor,Coady,D,4.0,Centre Central Defender,n/a,n/a,2.0,31 years 180 days,England,8.0
2022/23,300707.0,Toti Gomes,Tote António,Gomes,D,24.0,Centre Central Defender,Wolverhampton Wanderers,WOL,2.0,25 years 220 days,Portugal,8.0
2022/23,354647.0,Kalidou Koulibaly,Kalidou,Koulibaly,D,3.0,Centre Central Defender,n/a,n/a,2.0,33 years 64 days,Senegal,8.0
2022/23,314846.0,James Tarkowski,James,Tarkowski,D,6.0,Centre Central Defender,Everton,EVE,2.0,31 years 278 days,England,8.0
2022/23,335842.0,Max Wöber,Max,Wöber,D,39.0,Central Defender,Leeds United,LEE,2.0,26 years 201 days,Austria,8.0
2022/23,363206.0,Joe Worrall,Joe,Worrall,D,n/a,Centre Central Defender,n/a,n/a,2.0,27 years 226 days,England,8.0
2022/23,345193.0,Tyler Adams,Tyler,Adams,M,18.0,Midfielder,n/a,n/a,1.0,25 years 191 days,United States,14.0
2022/23,312977.0,Nayef Aguerd,Nayef,Aguerd,D,27.0,Centre Central Defender,West Ham United,WHU,1.0,28 years 146 days,Morocco,14.0
2022/23,325430.0,Manuel Akanji,Manuel,Akanji,D,25.0,Centre Central Defender,Manchester City,MCI,1.0,29 years 35 days,Switzerland,14.0
2022/23,356612.0,Carlos Alcaraz,Carlos,Alcaraz,M,26.0,Centre Central Midfielder,Southampton,SOU,1.0,21 years 267 days,Argentina,14.0
2022/23,30533.0,Trent Alexander-Arnold,Trent,Alexander-Arnold,D,n/a,Right Full Back,Liverpool,LIV,1.0,25 years 321 days,England,14.0
2022/23,363213.0,Joachim Andersen,Joachim,Andersen,D,5.0,Centre Central Defender,n/a,n/a,1.0,28 years 84 days,Denmark,14.0
2022/23,327643.0,Michail Antonio,Michail,Antonio,F,n/a,Centre Striker,West Ham United,WHU,1.0,34 years 148 days,Jamaica,14.0
2022/23,359145.0,Luke Ayling,Luke,Ayling,D,12.0,Right Full Back,n/a,n/a,1.0,32 years 364 days,England,14.0
2022/23,30517.0,Jan Bednarek,Jan,Bednarek,D,35.0,Centre Central Defender,Southampton,SOU,1.0,28 years 133 days,Poland,14.0
2022/23,346885.0,Armel Bella-Kotchap,Armel,Bella-Kotchap,D,6.0,Centre Central Defender,Southampton,SOU,1.0,22 years 256 days,Germany,14.0
2022/23,302775.0,Rodrigo Bentancur,Rodrigo,Bentancur,M,30.0,Centre Central Midfielder,Tottenham Hotspur,TOT,1.0,27 years 59 days,Uruguay,14.0
2022/23,362983.0,Hugo Bueno,Hugo,Bueno,D,16.0,Left Full Back,n/a,n/a,1.0,21 years 340 days,Spain,14.0
2022/23,346821.0,João Cancelo,João Pedro,Cavaco Cancelo,D,2.0,Right Full Back,Manchester City,MCI,1.0,30 years 88 days,Portugal,14.0
2022/23,340957.0,Nathan Collins,Nathan,Collins,D,22.0,Centre Central Defender,n/a,n/a,1.0,23 years 115 days,Ireland,14.0
2022/23,322024.0,Marc Cucurella,Marc,Cucurella,D,3.0,Left Wing Back,Chelsea,CHE,1.0,26 years 32 days,Spain,14.0
2022/23,354649.0,Rúben Neves,Rúben Diogo,da Silva Neves,M,8.0,Centre Central Midfielder,n/a,n/a,1.0,27 years 163 days,Portugal,14.0
2022/23,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,1.0,25 years 158 days,Portugal,14.0
2022/23,360753.0,Felipe,Felipe Augusto,de Almeida Monteiro,D,n/a,Centre Central Defender,n/a,n/a,1.0,35 years 99 days,Brazil,14.0
2022/23,19595.0,Kevin De Bruyne,Kevin,De Bruyne,M,17.0,Left/Centre/Right Attacking Midfielder,Manchester City,MCI,1.0,33 years 56 days,Belgium,14.0
2022/23,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,1.0,27 years 101 days,Portugal,14.0
2022/23,316524.0,Cheick Doucouré,Cheick,Doucouré,M,28.0,Centre Defensive Midfielder,Crystal Palace,CRY,1.0,24 years 228 days,Mali,14.0
2022/23,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,1.0,32 years 276 days,England,14.0
2022/23,337833.0,Jorginho,Jorge Luiz,Frello Filho,M,20.0,Centre Central Midfielder,Arsenal,ARS,1.0,32 years 247 days,Italy,14.0
2022/23,335653.0,Cody Gakpo,Cody,Gakpo,F,18.0,Centre Striker,Liverpool,LIV,1.0,25 years 108 days,Netherlands,14.0
2022/23,363122.0,Conor Gallagher,Conor,Gallagher,M,4.0,Centre Central Midfielder,n/a,n/a,1.0,24 years 199 days,England,14.0
2022/23,36581.0,Rico Henry,Rico,Henry,D,3.0,Left Full Back,Brentford,BRE,1.0,27 years 46 days,England,14.0
2022/23,300156.0,James Justin,James,Justin,D,n/a,Defender,Leicester City,LEI,1.0,26 years 182 days,England,14.0
2022/23,48260.0,Michael Keane,Michael,Keane,D,5.0,Centre Central Defender,Everton,EVE,1.0,31 years 225 days,England,14.0
2022/23,359784.0,Thilo Kehrer,Thilo,Kehrer,D,5.0,Centre/Right Central Defender,n/a,n/a,1.0,27 years 337 days,Germany,14.0
2022/23,359178.0,Lloyd Kelly,Lloyd,Kelly,D,25.0,Central Defender,n/a,n/a,1.0,25 years 322 days,England,14.0
2022/23,360556.0,Robin Koch,Robin,Koch,D,4.0,Central Defender,Leeds United,LEE,1.0,28 years 37 days,Germany,14.0
2022/23,279619.0,Ibrahima Konaté,Ibrahima,Konaté,D,5.0,Centre Central Defender,Liverpool,LIV,1.0,25 years 90 days,France,14.0
2022/23,160422.0,Ezri Konsa,Ezri,Konsa,D,4.0,Centre Central Defender,Aston Villa,AVL,1.0,26 years 305 days,England,14.0
2022/23,361462.0,Rasmus Kristensen,Rasmus,Kristensen,D,13.0,Right Full Back,Leeds United,LEE,1.0,27 years 43 days,Denmark,14.0
2022/23,340460.0,Jefferson Lerma,Jefferson,Lerma,M,8.0,Centre Central Midfielder,n/a,n/a,1.0,29 years 303 days,Colombia,14.0
2022/23,355739.0,Renan Lodi,Renan Augusto,Lodi dos Santos,D,6.0,Defender,n/a,n/a,1.0,26 years 137 days,Brazil,14.0
2022/23,161345.0,Harry Maguire,Harry,Maguire,D,5.0,Centre Central Defender,Manchester United,MUN,1.0,31 years 171 days,England,14.0
2022/23,337759.0,Weston McKennie,Weston,McKennie,M,28.0,Centre Central Midfielder,Leeds United,LEE,1.0,25 years 361 days,United States,14.0
2022/23,320612.0,Dwight McNeil,Dwight,McNeil,F,7.0,Left Winger,Everton,EVE,1.0,24 years 275 days,England,14.0
2022/23,43231.0,Scott McTominay,Scott,McTominay,M,39.0,Centre Attacking Midfielder,Manchester United,MUN,1.0,27 years 259 days,Scotland,14.0
2022/23,363133.0,Álex Moreno,Álex,Moreno,D,19.0,Left Full Back,n/a,n/a,1.0,31 years 76 days,Spain,14.0
2022/23,341034.0,Mason Mount,Mason,Mount,M,7.0,Centre Attacking Midfielder,n/a,n/a,1.0,25 years 226 days,England,14.0
2022/23,299539.0,Vitalii Mykolenko,Vitalii,Mykolenko,D,19.0,Left Full Back,Everton,EVE,1.0,25 years 86 days,Ukraine,14.0
2022/23,42220.0,Wilfred Ndidi,Wilfred,Ndidi,M,6.0,Centre Central Midfielder,Leicester City,LEI,1.0,27 years 251 days,Nigeria,14.0
2022/23,356049.0,Ivan Perisic,Ivan,Perisic,F,4.0,Forward,n/a,n/a,1.0,35 years 203 days,Croatia,14.0
2022/23,359382.0,Romain Perraud,Romain,Perraud,D,15.0,Left Full Back,n/a,n/a,1.0,26 years 336 days,France,14.0
2022/23,222663.0,Jacob Ramsey,Jacob,Ramsey,M,41.0,Midfielder,Aston Villa,AVL,1.0,23 years 87 days,England,14.0
2022/23,359383.0,Marc Roca,Marc,Roca,M,21.0,Centre Defensive Midfielder,n/a,n/a,1.0,27 years 271 days,Spain,14.0
2022/23,166522.0,Mads Roerslev,Mads,Roerslev,D,30.0,Right Full Back,Brentford,BRE,1.0,25 years 60 days,Denmark,14.0
2022/23,343487.0,Mohammed Salisu,Mohammed,Salisu,D,22.0,Central Defender,Southampton,SOU,1.0,25 years 128 days,Ghana,14.0
2022/23,275377.0,Fabian Schär,Fabian,Schär,D,n/a,Defender,Newcastle United,NEW,1.0,32 years 247 days,Switzerland,14.0
2022/23,349711.0,Lyanco,Lyanco Evangelista,Silveira Neves Vojnovic,D,n/a,Centre Central Defender,n/a,n/a,1.0,27 years 204 days,Brazil,14.0
2022/23,258788.0,Pascal Struijk,Pascal,Struijk,D,21.0,Centre Central Defender,Leeds United,LEE,1.0,25 years 12 days,Netherlands,14.0
2022/23,363001.0,Matt Targett,Matt,Targett,D,n/a,Left Full Back,Newcastle United,NEW,1.0,28 years 340 days,England,14.0
2022/23,202655.0,Ivan Toney,Ivan,Toney,F,17.0,Centre Striker,Brentford,BRE,1.0,28 years 160 days,England,14.0
2022/23,92622.0,Virgil van Dijk,Virgil,van Dijk,D,4.0,Centre Central Defender,Liverpool,LIV,1.0,33 years 46 days,Netherlands,14.0
2022/23,328313.0,Jan Paul van Hecke,Jan Paul,van Hecke,D,n/a,Defender,Brighton & Hove Albion,BHA,1.0,24 years 76 days,Netherlands,14.0
2022/23,187645.0,Kyle Walker-Peters,Kyle,Walker-Peters,D,2.0,Right Full Back,Southampton,SOU,1.0,27 years 132 days,England,14.0
2022/23,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,1.0,28 years 237 days,England,14.0
2022/23,341954.0,Ashley Young,Ashley,Young,D,18.0,Defender,n/a,n/a,1.0,39 years 45 days,England,14.0
2022/23,313931.0,Sven Botman,Sven,Botman,D,4.0,Central Defender,Newcastle United,NEW,0.0,24 years 224 days,Netherlands,74.0
2022/23,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,0.0,32 years 106 days,England,74.0
