Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Saves,Age,Nationality,Rank
2020/21,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,114.0,37 years 241 days,France,6.0
2020/21,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,114.0,32 years 126 days,England,6.0
2020/21,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,106.0,37 years 226 days,Spain,8.0
2020/21,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,103.0,39 years 127 days,Poland,9.0
2020/21,280895.0,Rui Patrício,Rui Pedro,dos Santos Patrício,G,1.0,Goalkeeper,n/a,n/a,100.0,36 years 190 days,Portugal,10.0
2020/21,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,93.0,34 years 264 days,England,11.0
2020/21,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,90.0,30 years 169 days,England,12.0
2020/21,343383.0,Karl Darlow,Karl,Darlow,G,26.0,Goalkeeper,n/a,n/a,88.0,33 years 320 days,England,13.0
2020/21,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,88.0,37 years 292 days,Denmark,13.0
2020/21,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,n/a,n/a,86.0,32 years 172 days,Germany,15.0
2020/21,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,84.0,31 years 326 days,Brazil,16.0
2020/21,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,n/a,n/a,66.0,26 years 279 days,Spain,17.0
2020/21,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,66.0,31 years 6 days,Brazil,17.0
2020/21,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,60.0,33 years 290 days,Spain,19.0
2020/21,256071.0,Édouard Mendy,Édouard,Mendy,G,16.0,Goalkeeper,n/a,n/a,57.0,32 years 175 days,Senegal,20.0
2020/21,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,45.0,35 years 221 days,Slovakia,21.0
2020/21,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,n/a,n/a,40.0,27 years 164 days,England,22.0
2020/21,361176.0,Mathew Ryan,Mathew,Ryan,G,98.0,Goalkeeper,n/a,n/a,24.0,32 years 137 days,Australia,23.0
2020/21,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,n/a,n/a,21.0,34 years 228 days,Sweden,24.0
2020/21,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,n/a,n/a,20.0,36 years 159 days,England,25.0
2020/21,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,16.0,29 years 325 days,Spain,26.0
2020/21,361516.0,Bailey Peacock-Farrell,Bailey,Peacock-Farrell,G,45.0,Goalkeeper,Burnley,BUR,10.0,27 years 299 days,Northern Ireland,27.0
2020/21,101878.0,Adrián,Adrián,San Miguel del Castillo,G,13.0,Goalkeeper,n/a,n/a,10.0,37 years 233 days,Spain,27.0
2020/21,322884.0,Kiko Casilla,Francisco,Casilla Cortés,G,1.0,Goalkeeper,Leeds United,LEE,8.0,37 years 326 days,Spain,29.0
2020/21,256028.0,Caoimhín Kelleher,Caoimhín,Kelleher,G,62.0,Goalkeeper,Liverpool,LIV,6.0,25 years 274 days,Ireland,30.0
2020/21,337207.0,Darren Randolph,Darren,Randolph,G,12.0,Goalkeeper,West Ham United,WHU,6.0,37 years 103 days,Ireland,30.0
2020/21,344972.0,David Button,David,Button,G,1.0,Goalkeeper,n/a,n/a,4.0,35 years 178 days,England,32.0
2020/21,20301.0,Marek Rodák,Marek,Rodák,G,13.0,Goalkeeper,n/a,n/a,4.0,27 years 254 days,Slovakia,32.0
2020/21,347041.0,Jack Butland,Jack,Butland,G,1.0,Goalkeeper,n/a,n/a,3.0,31 years 166 days,England,34.0
2020/21,138615.0,João Virgínia,João Manuel,Neves Virgínia,G,12.0,Goalkeeper,Everton,EVE,3.0,24 years 318 days,Portugal,34.0
2020/21,359411.0,John Ruddy,John,Ruddy,G,26.0,Goalkeeper,n/a,n/a,3.0,37 years 304 days,England,34.0
2020/21,282078.0,Scott Carson,Scott,Carson,G,33.0,Goalkeeper,n/a,n/a,2.0,38 years 355 days,England,37.0
2020/21,340592.0,Will Norris,Will,Norris,G,1.0,Goalkeeper,n/a,n/a,2.0,31 years 11 days,England,37.0
2020/21,356802.0,Rúnar Rúnarsson,Rúnar,Rúnarsson,G,31.0,Goalkeeper,n/a,n/a,2.0,29 years 187 days,Iceland,37.0
2020/21,319173.0,Zack Steffen,Zack,Steffen,G,1.0,Goalkeeper,n/a,n/a,1.0,29 years 143 days,United States,40.0
2019/20,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,140.0,35 years 221 days,Slovakia,1.0
2019/20,354397.0,Tim Krul,Tim,Krul,G,n/a,Goalkeeper,n/a,n/a,132.0,36 years 142 days,Netherlands,2.0
2019/20,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,n/a,n/a,129.0,26 years 101 days,England,3.0
2019/20,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,120.0,32 years 126 days,England,4.0
2019/20,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,Watford,WAT,117.0,41 years 142 days,England,5.0
2019/20,361176.0,Mathew Ryan,Mathew,Ryan,G,98.0,Goalkeeper,n/a,n/a,117.0,32 years 137 days,Australia,5.0
2019/20,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,n/a,n/a,113.0,32 years 172 days,Germany,7.0
2019/20,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,110.0,37 years 226 days,Spain,8.0
2019/20,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,n/a,n/a,97.0,27 years 164 days,England,9.0
2019/20,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,96.0,33 years 290 days,Spain,10.0
2019/20,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,96.0,37 years 292 days,Denmark,10.0
2019/20,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,94.0,30 years 169 days,England,12.0
2019/20,280895.0,Rui Patrício,Rui Pedro,dos Santos Patrício,G,1.0,Goalkeeper,n/a,n/a,91.0,36 years 190 days,Portugal,13.0
2019/20,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,81.0,37 years 241 days,France,14.0
2019/20,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,79.0,34 years 264 days,England,15.0
2019/20,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,72.0,39 years 127 days,Poland,16.0
2019/20,277767.0,Tom Heaton,Tom,Heaton,G,22.0,Goalkeeper,n/a,n/a,68.0,38 years 130 days,England,17.0
2019/20,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,68.0,31 years 6 days,Brazil,17.0
2019/20,340726.0,Paulo Gazzaniga,Paulo,Gazzaniga,G,13.0,Goalkeeper,n/a,n/a,59.0,32 years 234 days,Argentina,19.0
2019/20,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,58.0,31 years 326 days,Brazil,20.0
2019/20,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,55.0,29 years 325 days,Spain,21.0
2019/20,196350.0,Roberto Jiménez,Roberto,Jiménez,G,13.0,Goalkeeper,n/a,n/a,36.0,38 years 195 days,Spain,22.0
2019/20,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,n/a,n/a,34.0,31 years 356 days,Argentina,23.0
2019/20,127990.0,Pepe Reina,Pepe,Reina,G,1.0,Goalkeeper,n/a,n/a,33.0,41 years 358 days,Spain,24.0
2019/20,277023.0,Angus Gunn,Angus,Gunn,G,1.0,Goalkeeper,n/a,n/a,30.0,28 years 214 days,Scotland,25.0
2019/20,101878.0,Adrián,Adrián,San Miguel del Castillo,G,13.0,Goalkeeper,n/a,n/a,18.0,37 years 233 days,Spain,26.0
2019/20,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,n/a,n/a,16.0,37 years 212 days,Wales,27.0
2019/20,57526.0,David Martin,David,Martin,G,18.0,Goalkeeper,West Ham United,WHU,15.0,38 years 214 days,England,28.0
2019/20,345203.0,Ørjan Nyland,Ørjan,Nyland,G,13.0,Goalkeeper,n/a,n/a,15.0,33 years 348 days,Norway,28.0
2019/20,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,n/a,n/a,10.0,42 years 330 days,Argentina,30.0
2019/20,202618.0,Claudio Bravo,Claudio,Bravo,G,25.0,Goalkeeper,n/a,n/a,8.0,41 years 132 days,Chile,31.0
2019/20,359095.0,Michael McGovern,Michael,McGovern,G,12.0,Goalkeeper,Norwich City,NOR,7.0,40 years 42 days,Northern Ireland,32.0
2019/20,337207.0,Darren Randolph,Darren,Randolph,G,12.0,Goalkeeper,West Ham United,WHU,6.0,37 years 103 days,Ireland,33.0
2019/20,359399.0,Simon Moore,Simon,Moore,G,21.0,Goalkeeper,Sheffield United,SHU,5.0,34 years 96 days,England,34.0
2019/20,343141.0,Mark Travers,Mark,Travers,G,1.0,Goalkeeper,Bournemouth,BOU,2.0,25 years 97 days,Ireland,35.0
2019/20,160300.0,Ralf Fährmann,Ralf,Fährmann,G,21.0,Goalkeeper,n/a,n/a,1.0,35 years 331 days,Germany,36.0
2019/20,336745.0,Leandro Trossard,Leandro,Trossard,F,19.0,Forward,Brighton & Hove Albion,BHA,0.0,29 years 263 days,Belgium,37.0
2018/19,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,148.0,39 years 127 days,Poland,1.0
2018/19,234882.0,Neil Etheridge,Neil,Etheridge,G,1.0,Goalkeeper,n/a,n/a,141.0,34 years 198 days,Philippines,2.0
2018/19,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,Watford,WAT,127.0,41 years 142 days,England,3.0
2018/19,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,122.0,33 years 290 days,Spain,4.0
2018/19,301337.0,Sergio Rico,Sergio,Rico,G,25.0,Goalkeeper,Fulham,FUL,111.0,30 years 357 days,Spain,5.0
2018/19,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,n/a,n/a,105.0,32 years 172 days,Germany,6.0
2018/19,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,101.0,37 years 241 days,France,7.0
2018/19,280895.0,Rui Patrício,Rui Pedro,dos Santos Patrício,G,1.0,Goalkeeper,n/a,n/a,97.0,36 years 190 days,Portugal,8.0
2018/19,361176.0,Mathew Ryan,Mathew,Ryan,G,98.0,Goalkeeper,n/a,n/a,97.0,32 years 137 days,Australia,8.0
2018/19,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,95.0,35 years 221 days,Slovakia,10.0
2018/19,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,94.0,30 years 169 days,England,11.0
2018/19,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,90.0,37 years 292 days,Denmark,12.0
2018/19,299538.0,Jonas Lössl,Jonas,Lössl,G,49.0,Goalkeeper,Huddersfield Town,HUD,88.0,35 years 204 days,Denmark,13.0
2018/19,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,82.0,29 years 325 days,Spain,14.0
2018/19,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,78.0,34 years 264 days,England,15.0
2018/19,289224.0,Joe Hart,Joe,Hart,G,1.0,Goalkeeper,n/a,n/a,77.0,37 years 126 days,England,16.0
2018/19,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,76.0,31 years 326 days,Brazil,17.0
2018/19,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,64.0,37 years 226 days,Spain,18.0
2018/19,277767.0,Tom Heaton,Tom,Heaton,G,22.0,Goalkeeper,n/a,n/a,63.0,38 years 130 days,England,19.0
2018/19,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,60.0,37 years 64 days,Bosnia & Herzegovina,20.0
2018/19,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,58.0,31 years 6 days,Brazil,21.0
2018/19,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,n/a,n/a,44.0,37 years 212 days,Wales,22.0
2018/19,289289.0,Artur Boruc,Artur,Boruc,G,1.0,Goalkeeper,n/a,n/a,41.0,44 years 185 days,Poland,23.0
2018/19,277023.0,Angus Gunn,Angus,Gunn,G,1.0,Goalkeeper,n/a,n/a,33.0,28 years 214 days,Scotland,24.0
2018/19,266361.0,Petr Cech,Petr,Cech,G,1.0,Goalkeeper,n/a,n/a,28.0,42 years 95 days,Czech Republic,25.0
2018/19,359396.0,Ben Hamer,Ben,Hamer,G,n/a,Goalkeeper,n/a,n/a,24.0,36 years 277 days,England,26.0
2018/19,283840.0,Marcus Bettinelli,Marcus,Bettinelli,G,13.0,Goalkeeper,n/a,n/a,20.0,32 years 91 days,England,27.0
2018/19,352583.0,Fabri,Fabricio,Agosto Ramírez,G,1.0,Goalkeeper,n/a,n/a,16.0,36 years 236 days,Spain,28.0
2018/19,344972.0,David Button,David,Button,G,1.0,Goalkeeper,n/a,n/a,14.0,35 years 178 days,England,29.0
2018/19,340726.0,Paulo Gazzaniga,Paulo,Gazzaniga,G,13.0,Goalkeeper,n/a,n/a,11.0,32 years 234 days,Argentina,30.0
2018/19,343141.0,Mark Travers,Mark,Travers,G,1.0,Goalkeeper,Bournemouth,BOU,9.0,25 years 97 days,Ireland,31.0
2018/19,166315.0,Michel Vorm,Michel,Vorm,G,13.0,Goalkeeper,n/a,n/a,9.0,40 years 308 days,Netherlands,31.0
2018/19,21225.0,Julian Speroni,Julian,Speroni,G,n/a,Goalkeeper,n/a,n/a,5.0,45 years 97 days,Argentina,33.0
2018/19,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,n/a,n/a,3.0,42 years 330 days,Argentina,34.0
2018/19,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,n/a,n/a,3.0,36 years 159 days,England,34.0
2018/19,359411.0,John Ruddy,John,Ruddy,G,26.0,Goalkeeper,n/a,n/a,3.0,37 years 304 days,England,34.0
2018/19,340787.0,Joel Coleman,Joel,Coleman,G,13.0,Goalkeeper,n/a,n/a,2.0,28 years 332 days,England,37.0
2018/19,180097.0,Gaëtan Bong,Gaëtan,Bong,D,6.0,Left Full Back,n/a,n/a,0.0,36 years 120 days,Cameroon,38.0
2018/19,344449.0,Steve Cook,Steve,Cook,D,5.0,Central Defender,n/a,n/a,0.0,33 years 126 days,England,38.0
2018/19,288590.0,Scott Dann,Scott,Dann,D,6.0,Centre Central Defender,n/a,n/a,0.0,37 years 191 days,England,38.0
2018/19,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,0.0,32 years 276 days,England,38.0
2018/19,313297.0,Maya Yoshida,Maya,Yoshida,D,22.0,Centre Central Defender,n/a,n/a,0.0,35 years 365 days,Japan,38.0
2017/18,347041.0,Jack Butland,Jack,Butland,G,1.0,Goalkeeper,n/a,n/a,144.0,31 years 166 days,England,1.0
2017/18,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,Swansea City,SWA,137.0,39 years 127 days,Poland,2.0
2017/18,361176.0,Mathew Ryan,Mathew,Ryan,G,98.0,Goalkeeper,n/a,n/a,124.0,32 years 137 days,Australia,3.0
2017/18,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,n/a,n/a,121.0,30 years 169 days,England,4.0
2017/18,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,115.0,33 years 290 days,Spain,5.0
2017/18,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,114.0,32 years 126 days,England,6.0
2017/18,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,111.0,37 years 64 days,Bosnia & Herzegovina,7.0
2017/18,299538.0,Jonas Lössl,Jonas,Lössl,G,49.0,Goalkeeper,n/a,n/a,103.0,35 years 204 days,Denmark,8.0
2017/18,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,West Bromwich Albion,WBA,100.0,41 years 142 days,England,9.0
2017/18,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,93.0,37 years 292 days,Denmark,10.0
2017/18,266361.0,Petr Cech,Petr,Cech,G,1.0,Goalkeeper,n/a,n/a,91.0,42 years 95 days,Czech Republic,11.0
2017/18,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,n/a,n/a,91.0,37 years 212 days,Wales,11.0
2017/18,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,86.0,37 years 241 days,France,13.0
2017/18,135209.0,Thibaut Courtois,Thibaut,Courtois,G,1.0,Goalkeeper,n/a,n/a,76.0,32 years 104 days,Belgium,14.0
2017/18,101878.0,Adrián,Adrián,San Miguel del Castillo,G,13.0,Goalkeeper,n/a,n/a,69.0,37 years 233 days,Spain,15.0
2017/18,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,n/a,n/a,68.0,36 years 159 days,England,16.0
2017/18,15253.0,Heurelho Gomes,Heurelho,da Silva Gomes,G,1.0,Goalkeeper,n/a,n/a,61.0,43 years 190 days,Brazil,17.0
2017/18,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,58.0,31 years 6 days,Brazil,18.0
2017/18,289224.0,Joe Hart,Joe,Hart,G,1.0,Goalkeeper,n/a,n/a,53.0,37 years 126 days,England,19.0
2017/18,328883.0,Robert Elliot,Robert,Elliot,G,37.0,Goalkeeper,n/a,n/a,44.0,38 years 115 days,Ireland,20.0
2017/18,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,42.0,34 years 264 days,England,21.0
2017/18,162448.0,Simon Mignolet,Simon,Mignolet,G,22.0,Goalkeeper,n/a,n/a,36.0,36 years 170 days,Belgium,22.0
2017/18,343383.0,Karl Darlow,Karl,Darlow,G,26.0,Goalkeeper,n/a,n/a,35.0,33 years 320 days,England,23.0
2017/18,258324.0,Orestis Karnezis,Orestis,Karnezis,G,1.0,Goalkeeper,n/a,n/a,34.0,39 years 43 days,Greece,24.0
2017/18,327268.0,Loris Karius,Loris,Karius,G,18.0,Goalkeeper,Liverpool,LIV,31.0,31 years 62 days,Germany,25.0
2017/18,21225.0,Julian Speroni,Julian,Speroni,G,n/a,Goalkeeper,n/a,n/a,31.0,45 years 97 days,Argentina,25.0
2017/18,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,n/a,n/a,26.0,35 years 221 days,Slovakia,27.0
2017/18,336687.0,David Ospina,David,Ospina,G,n/a,Goalkeeper,n/a,n/a,9.0,35 years 358 days,Colombia,28.0
2017/18,277687.0,Lee Grant,Lee,Grant,G,n/a,Goalkeeper,Stoke City,STK,8.0,41 years 209 days,England,29.0
2017/18,277767.0,Tom Heaton,Tom,Heaton,G,22.0,Goalkeeper,n/a,n/a,8.0,38 years 130 days,England,29.0
2017/18,337071.0,Eldin Jakupovic,Eldin,Jakupovic,G,1.0,Goalkeeper,n/a,n/a,8.0,39 years 326 days,Switzerland,29.0
2017/18,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,n/a,n/a,7.0,42 years 330 days,Argentina,32.0
2017/18,359396.0,Ben Hamer,Ben,Hamer,G,n/a,Goalkeeper,n/a,n/a,6.0,36 years 277 days,England,33.0
2017/18,202618.0,Claudio Bravo,Claudio,Bravo,G,25.0,Goalkeeper,n/a,n/a,4.0,41 years 132 days,Chile,34.0
2017/18,166315.0,Michel Vorm,Michel,Vorm,G,13.0,Goalkeeper,n/a,n/a,4.0,40 years 308 days,Netherlands,34.0
2017/18,340726.0,Paulo Gazzaniga,Paulo,Gazzaniga,G,13.0,Goalkeeper,n/a,n/a,3.0,32 years 234 days,Argentina,36.0
2017/18,335710.0,Sergio Romero,Sergio,Romero,G,1.0,Goalkeeper,n/a,n/a,3.0,37 years 183 days,Argentina,36.0
2017/18,32020.0,Boaz Myhill,Boaz,Myhill,G,1.0,Goalkeeper,West Bromwich Albion,WBA,2.0,41 years 288 days,Wales,38.0
2017/18,43049.0,Joël Matip,Joël,Matip,D,32.0,Centre Central Defender,n/a,n/a,0.0,33 years 15 days,Cameroon,39.0
